clave,fecha,lat,lon,CRW_SST,CRW_SSTANOMALY,CRW_HOTSPOT,CRW_DHW,estado
2022-05-17|2.475|104.525,2022-05-17,2.471194,104.510556,30.07,0.45,0.43,0.3,ok
2022-08-23|2.525|103.975,2022-08-23,2.548556,103.960028,29.36,0.8300000000000001,-0.24,0.0,ok
2022-05-16|2.475|104.525,2022-05-16,2.472806,104.508028,30.05,0.42,0.41000000000000003,0.3,ok
2021-04-01|-16.525|-151.725,2021-04-01,-16.549056,-151.703778,29.150000000000002,0.32,0.21,0.0,vecino
2026-04-27|18.375|-68.875,2026-04-27,18.369444,-68.853417,27.72,0.87,-0.81,0.0,ok
2025-12-10|-13.325|48.125,2025-12-10,-13.305417,48.116111,29.37,1.03,0.23,0.0,ok
2025-07-16|-8.725|115.575,2025-07-16,-8.706111,115.586111,28.13,1.17,-0.42,1.48,ok
2021-05-06|-8.725|115.925,2021-05-06,-8.726000,115.910056,29.19,0.75,0.51,0.0,ok
2024-04-19|2.925|104.125,2024-04-19,2.910833,104.112556,29.810000000000002,0.35000000000000003,0.22,0.33,ok
2021-05-15|13.325|-81.375,2021-05-15,13.312833,-81.374333,27.96,0.33,-0.49,0.0,ok
2024-08-17|4.575|118.925,2024-08-17,4.584944,118.940889,29.96,1.4000000000000001,0.73,0.33,ok
2022-06-11|4.825|103.675,2022-06-11,4.812806,103.675944,29.7,0.4,0.1,0.29,ok
2021-06-03|10.125|99.825,2021-06-03,10.121028,99.834861,30.560000000000002,0.79,0.43,0.8300000000000001,ok
2021-05-26|-8.675|115.525,2021-05-26,-8.676389,115.530028,29.45,1.46,0.9,0.0,ok
2022-08-05|-8.675|115.475,2022-08-05,-8.663333,115.466944,27.810000000000002,1.22,-0.67,2.81,ok
2021-08-29|4.575|118.925,2021-08-29,4.579306,118.940250,29.45,0.81,0.22,0.0,ok
2023-09-05|4.025|72.825,2023-09-05,4.017061,72.805231,29.02,0.56,-0.53,0.0,ok
2024-08-22|10.125|99.725,2024-08-22,10.116333,99.728722,30.21,1.51,0.1,0.63,ok
2023-05-06|2.675|103.925,2023-05-06,2.673400,103.904400,30.03,0.45,0.42,0.16,ok
2022-10-27|-16.525|-151.725,2022-10-27,-16.549056,-151.703778,26.97,-0.23,-1.97,0.0,vecino
2021-11-02|4.925|118.275,2021-11-02,4.948694,118.251278,30.44,1.31,0.7000000000000001,0.0,ok
2021-06-16|-8.675|115.475,2021-06-16,-8.682308,115.483022,29.04,1.3800000000000001,0.56,0.0,ok
2024-09-30|5.775|102.875,2024-09-30,5.796778,102.899639,29.990000000000002,1.04,0.05,0.0,ok
2023-05-17|2.575|104.325,2023-05-17,2.570611,104.321778,30.3,0.73,0.7000000000000001,0.0,ok
2022-07-22|5.925|102.775,2022-07-22,5.914444,102.754056,29.78,0.46,-0.16,0.17,ok
2023-10-04|-23.425|151.925,2023-10-04,-23.441611,151.904806,23.1,0.79,-4.0200000000000005,0.0,ok
2025-04-04|19.625|-156.025,2025-04-04,19.647250,-156.022833,25.54,0.92,-1.7,0.0,ok
2023-09-12|2.525|103.975,2023-09-12,2.549611,103.961417,28.79,0.19,-0.81,0.0,ok
2022-10-06|-27.925|153.425,2022-10-06,-27.931717,153.419093,21.92,0.8,-4.13,0.0,ok
2023-02-28|4.025|100.525,2023-02-28,4.002694,100.546694,29.490000000000002,0.47000000000000003,-0.27,0.0,ok
2022-05-05|-27.925|153.425,2022-05-05,-27.939722,153.420833,24.810000000000002,1.01,-1.24,0.0,ok
2024-07-12|4.925|118.275,2024-07-12,4.941556,118.282417,29.82,1.01,0.08,8.96,ok
2024-06-25|4.125|118.625,2024-06-25,4.105694,118.628694,29.67,0.76,0.43,4.37,ok
2023-09-30|6.575|117.925,2023-09-30,6.562111,117.920167,30.07,0.79,0.67,3.83,ok
2024-06-12|17.225|-62.675,2024-06-12,17.223111,-62.660639,29.54,2.14,1.1500000000000001,0.9500000000000001,ok
2023-06-19|-27.425|153.525,2023-06-19,-27.414319,153.525268,21.85,-0.29,-4.33,0.0,ok
2025-04-03|-16.475|-151.775,2025-04-03,-16.499417,-151.783972,29.240000000000002,0.42,0.3,0.0,ok
